"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
519317,"Stanton, Giancarlo","818","0.91294642857142857143","558",81.29370453545232,"0.98655256723716381418",0.3046594982078853,0.2078239608801956,0.27598566308243727,0.1882640586797066,"8.5842637775061125","15",4.840031827957618,"260",0.31784841075794623,"297",0.363080684596577
665833,"Cruz, Oneil","876","0.91250000000000000000","590",78.56422159817352,"0.75570776255707762557",0.34067796610169493,0.22945205479452055,0.2457627118644068,0.16552511415525115,"7.6641861415525114","9",-15.425639015748189,"286",0.3264840182648402,"304",0.3470319634703196
656941,"Schwarber, Kyle","994","0.90445859872611464968","712",77.53945150905437,"0.77967806841046277666",0.3202247191011236,0.22937625754527163,0.22893258426966293,0.16398390342052313,"7.7041915392354125","38",-1.6490405625505689,"282",0.2837022132796781,"354",0.3561368209255533
592450,"Judge, Aaron","1128","0.90748189863234111022","793",77.16582726950365,"0.75088652482269503546",0.33669609079445145,0.23670212765957446,0.25598991172761665,0.1799645390070922,"8.1808555851063830","16",47.47202428657956,"335",0.2969858156028369,"375",0.3324468085106383
666176,"Adell, Jo","797","0.90465380249716231555","578",76.67403304893354,"0.65872020075282308657",0.2508650519031142,0.18193224592220827,0.1522491349480969,0.11041405269761606,"7.5550061480552070","20",-13.917371250405239,"219",0.27478042659974905,"262",0.328732747804266
656305,"Chapman, Matt","990","0.90493601462522851920","757",76.5996405959595,"0.64141414141414141414",0.2813738441215324,0.21515151515151515,0.18494055482166447,0.1414141414141414,"7.4511061212121212","21",-6.083159384976391,"233",0.23535353535353534,"348",0.3515151515151515
670541,"Alvarez, Yordan","929","0.91437007874015748031","755",76.55361602798713,"0.63186221743810548977",0.3403973509933775,0.2766415500538213,0.223841059602649,0.18191603875134554,"7.5818742518837460","1",16.70237476528252,"174",0.18729817007534985,"412",0.4434876210979548
660271,"Ohtani, Shohei","1253","0.90338860850757029560","882",76.32425588986429,"0.64086193136472466081",0.373015873015873,0.26256983240223464,0.2528344671201814,0.1779728651237031,"7.7554228810853951","10",34.068969060182795,"371",0.29608938547486036,"455",0.36312849162011174
677594,"Rodríguez, Julio","1093","0.90555095277547638774","768",76.25833207685271,"0.63403476669716376944",0.2955729166666667,0.20768526989935956,0.20572916666666666,0.1445562671546203,"7.8990784537968893","30",-10.523432746781046,"325",0.29734675205855443,"359",0.3284537968892955
683002,"Henderson, Gunnar","1128","0.90384615384615384615","881",76.25774426418438,"0.64007092198581560284",0.32122587968217936,0.250886524822695,0.22587968217934165,0.17641843971631205,"7.2323076152482270","20",-5.7518192747260155,"247",0.21897163120567376,"434",0.38475177304964536
666624,"Morel, Christopher","956","0.90530303030303030303","636",76.08846125523013,"0.64748953974895397490",0.3018867924528302,0.200836820083682,0.1761006289308176,0.11715481171548117,"8.0165528242677824","24",-32.73272408892127,"320",0.33472803347280333,"333",0.348326359832636
665489,"Guerrero Jr., Vladimir","1050","0.90987868284228769497","843",75.87663773333351,"0.57428571428571428571",0.34519572953736655,0.27714285714285714,0.24199288256227758,0.19428571428571428,"7.7384668095238095","9",23.941614862407153,"207",0.19714285714285715,"445",0.4238095238095238
665742,"Soto, Juan","1011","0.90348525469168900804","820",75.52879842729963,"0.60336300692383778437",0.3951219512195122,0.32047477744807124,0.25853658536585367,0.20969337289812068,"7.2787591394658754","30",16.40260038729417,"191",0.18892185954500496,"446",0.4411473788328388
624585,"Soler, Jorge","893","0.90844354018311291963","652",75.42880636058229,"0.56998880179171332587",0.29754601226993865,0.21724524076147816,0.1579754601226994,0.11534154535274356,"7.9320459014557671","12",-12.051141768911682,"241",0.2698768197088466,"320",0.3583426651735722
592518,"Machado, Manny","1094","0.90338563170933113130","858",75.28107109689215,"0.53564899451553930530",0.31585081585081587,0.2477148080438757,0.20745920745920746,0.16270566727605118,"7.7843481992687386","25",2.2688835762993684,"236",0.21572212065813529,"437",0.39945155393053017
624413,"Alonso, Pete","1091","0.90464344941956882255","832",75.27954857928495,"0.52978918423464711274",0.2956730769230769,0.22548120989917506,0.18389423076923078,0.14023831347387716,"7.3181736296975252","20",-11.112857016691422,"259",0.2373968835930339,"416",0.38130155820348305
671218,"Ramos, Heliot","876","0.90777202072538860104","655",75.24269973744293,"0.55251141552511415525",0.29770992366412213,0.2226027397260274,0.183206106870229,0.136986301369863,"6.9366757648401826","28",-2.277818679329121,"221",0.2522831050228311,"319",0.3641552511415525
592669,"Renfroe, Hunter","643","0.91335227272727272727","503",75.24117856920678,"0.52877138413685847589",0.2962226640159046,0.2317262830482115,0.1550695825049702,0.12130637636080871,"7.6201615707620529","8",-11.010604689925222,"140",0.2177293934681182,"277",0.4307931570762053
663586,"Riley, Austin","754","0.90843373493975903614","563",75.23038332891247,"0.53580901856763925729",0.3268206039076377,0.2440318302387268,0.2024866785079929,0.15119363395225463,"7.5092142572944297","24",-6.703269870715881,"191",0.253315649867374,"264",0.35013262599469497
641933,"O'Neill, Tyler","733","0.90605686032138442522","481",75.22371484311061,"0.51841746248294679400",0.28274428274428276,0.1855388813096862,0.18087318087318088,0.11869031377899045,"7.5942539290586630","11",-4.00892323020385,"252",0.34379263301500684,"209",0.28512960436562074
