"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_ball","b_called_strike","b_game","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","b_total_ball","b_total_strike","b_total_swinging_strike","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Verdugo, Alex","657077","2022","26","593","644","166","115","39","1","11","86","42",13.4,6.5,".280",".405",".328","0.733","0.125",".309","74","280","240","3","1","841","468","152","14","3","2","0","6","1","0","0","895","1595","140",".278",".428",".319",".329",".327",".151",,,,,,,,,"89.1","8.4",37.8,"31",6,38.2,"99.112574241","93.706486823",15.5,45.3
"Lopes, Christian","547173","2022","29","9","10","0","0","0","0","0","5","1",50,10,".000",".000",".100","0.100","0.000",".000","0","8","0","0","0","15","8","4","0","0","0","0","0","0","0","0","16","31","4",".173",".223",".069",".222",".256",".049",,,,,,,,,"91.1","27.6",75,"0",0,25,"96.00989","92.004945",26.1,48.9
"Hamilton, Caleb","643348","2022","27","18","23","1","0","0","0","1","14","4",60.9,17.4,".056",".222",".227","0.449","0.166",".000","1","8","4","0","0","37","20","22","0","0","0","1","0","0","0","0","38","71","23",".068",".216",".219",".222",".238",".147",,,,,,,,,"95.7","2.3",40,"1",20,60,"102.19248","96.8750525",49,46.8
"Jackson, Alex","656577","2022","26","12","12","3","3","0","0","0","7","0",58.3,0,".250",".250",".250","0.500","0.000",".600","0","5","3","0","0","10","4","5","0","0","0","0","0","0","0","0","10","30","10",".183",".210",".221",".172",".183",".026",,,,,,,,,"79.7","17",40,"0",0,0,"81.424583333","88",46.2,65
"Vierling, Matt","663837","2022","25","325","357","80","60","12","2","6","70","23",19.6,6.4,".246",".351",".297","0.648","0.105",".290","32","151","114","4","7","436","309","117","7","3","0","0","6","7","0","0","469","935","103",".275",".404",".285",".324",".328",".129",,,,,,,,,"91.2","12",35.2,"13",5,47.1,"101.211212846","94.995167231",19.5,44.6
"Freeman, Freddie","518692","2022","32","612","708","199","129","47","2","21","102","84",14.4,11.9,".325",".511",".407","0.918","0.186",".359","100","207","313","3","13","971","337","159","6","5","12","0","7","13","0","0","1061","1694","226",".313",".538",".393",".403",".400",".225",,,,,,,,,"91.3","13.6",42.9,"51",9.9,47.8,"100.761588016","95.094269494",19.5,49.3
"Pineda, Israel","672832","2022","22","13","14","1","1","0","0","0","7","1",50,7.1,".077",".077",".143","0.220","0.000",".167","0","6","1","0","0","9","6","4","0","0","0","0","0","0","0","0","10","33","9",".091",".112",".112",".131",".156",".021",,,,,,,,,"88.9","7.2",33.3,"0",0,16.7,"94.11659","91.669066667",44.4,62.8
"Outman, James","681546","2022","25","13","16","6","3","2","0","1","7","2",43.8,12.5,".462",".846",".563","1.409","0.384","1.000","3","6","11","0","0","20","10","4","0","1","0","0","0","0","0","0","22","41","10",".218",".324",".584",".319",".364",".106",,,,,,,,,"99.6","16.5",50,"0",0,83.3,"106.426596667","101.232326667",38.7,49.2
"Garneau, Dustin","572863","2022","34","10","11","3","2","1","0","0","4","1",36.4,9.1,".300",".400",".364","0.764","0.100",".500","1","4","4","0","0","15","8","8","0","0","0","0","0","0","0","0","16","36","8",".243",".448",".338",".334",".312",".204",,,,,,,,,"89.5","40.6",33.3,"1",16.7,16.7,"97.290386667","92.911185",35.7,53.8
"Short, Zack","670097","2022","27","9","13","0","0","0","0","0","5","2",38.5,15.4,".000",".000",".154","0.154","0.000",".000","2","4","0","0","1","19","12","6","0","0","0","0","2","1","0","0","20","32","9",".112",".269",".106",".232",".245",".157",,,,,,,,,"91.8","39.8",50,"2",33.3,50,"99.634506667","94.193005",45,38.5
