"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_ball","b_called_strike","b_game","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","b_total_ball","b_total_strike","b_total_swinging_strike","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"McCarthy, Joe","663411","2020","26","10","10","0","0","0","0","0","5","0",50,0,".000",".000",".000","0.000","0.000",".000","0","0","0","0","0","11","8","4","0","0","0","0","0","0","0","0","11","28","8",".027",".031",".000",".026",".027",".005",,,,,,,,,"77.9","27.1",0,"0",0,0,"85.231176667","88.752402",40,51.3
"Contreras, William","661388","2020","22","10","10","4","3","1","0","0","4","0",40,0,".400",".500",".400","0.900","0.100",".667","1","4","5","0","0","8","5","4","0","0","0","0","0","0","0","0","9","27","8",".322",".467",".389",".339",".322",".145",,,,,,,,,"84.6","18",83.3,"1",16.7,16.7,"95.321186667","91.844276667",40.9,61.1
"Davis, Jaylin","664041","2020","25","12","12","2","1","0","0","1","6","0",50,0,".167",".417",".167","0.584","0.250",".200","1","6","5","0","0","14","9","4","0","0","0","0","0","0","0","0","14","36","12",".200",".413",".238",".252",".200",".213",,,,,,,,,"102","19.4",33.3,"1",16.7,83.3,"106.887693333","101.994985",44.4,54
"Johnson, Daniel","669288","2020","24","12","13","1","1","0","0","0","5","1",38.5,7.7,".083",".083",".154","0.237","0.000",".143","0","1","1","0","0","14","7","5","0","0","1","0","0","0","0","0","14","35","11",".157",".297",".074",".190",".221",".140",,,,,,,,,"87.8","22.7",42.9,"1",14.3,28.6,"95.721815","92.412465714",42.9,57.1
"Rodríguez, Sean","446481","2020","35","13","13","2","2","0","0","0","6","0",46.2,0,".154",".154",".154","0.308","0.000",".286","0","10","2","0","0","14","9","4","0","0","0","0","0","0","0","0","16","34","7",".121",".154",".136",".121",".121",".033",,,,,,,,,"92.2","14.6",14.3,"0",0,42.9,"97.5901475","93.480084286",44,50
"Chang, Yu","644374","2020","24","11","13","2","2","0","0","0","4","2",30.8,15.4,".182",".182",".308","0.490","0.000",".286","1","7","2","0","0","23","6","10","2","0","0","0","0","0","0","0","23","32","4",".209",".234",".243",".273",".331",".025",,,,,,,,,"81.4","-2.4",14.3,"0",0,14.3,"87.325725","89.952132857",19.2,47.3
"Walton, Donovan","622268","2020","26","13","14","2","1","1","0","0","5","1",35.7,7.1,".154",".231",".214","0.445","0.077",".250","3","7","3","1","0","16","5","5","1","0","0","0","0","0","0","0","17","33","9",".149",".289",".201",".220",".210",".139",,,,,,,,,"81.2","4.1",37.5,"1",12.5,12.5,"91.95211","90.1097425",42.9,56
"Jankowski, Travis","608671","2020","29","15","17","1","1","0","0","0","7","2",41.2,11.8,".067",".067",".176","0.243","0.000",".125","0","9","1","1","2","33","14","16","1","0","0","0","0","2","0","0","34","42","9",".149",".163",".134",".210",".256",".013",,,,,,,,,"80.8","-13",25,"0",0,12.5,"91.142995","90.642774286",32.1,36.8
"Heath, Nick","670084","2020","26","13","18","2","1","1","0","0","6","2",33.3,11.1,".154",".231",".313","0.544","0.077",".286","3","7","3","2","2","32","19","15","0","1","0","1","0","1","1","0","37","53","11",".244",".306",".265",".326",".385",".063",,,,,,,,,"86.9","-5.2",37.5,"0",0,12.5,"93.2062925","91.046398571",35.3,37.8
"Stephenson, Tyler","663886","2020","23","17","20","5","3","0","0","2","9","2",45,10,".294",".647",".400","1.047","0.353",".500","6","11","11","0","0","25","26","8","0","1","0","0","0","0","0","0","33","56","8",".204",".405",".437",".324",".324",".201",,,,,,,,,"89.5","16.5",50,"1",12.5,50,"100.051175","95.27804625",26.7,33.7
"Ramírez, Harold","623912","2020","25","10","11","2","2","0","0","0","2","1",18.2,9.1,".200",".200",".273","0.473","0.000",".250","1","2","2","1","0","10","7","3","0","0","0","0","0","0","0","0","12","31","7",".174",".221",".224",".219",".249",".047",,,,,,,,,"81","10.6",37.5,"0",0,0,"89.953145","89.30120125",29.2,55.8
"Goins, Ryan","572365","2020","32","9","10","0","0","0","0","0","1","1",10,10,".000",".000",".100","0.100","0.000",".000","0","8","0","0","0","15","11","14","0","0","0","0","0","0","0","0","15","25","0",".202",".473",".070",".318",".282",".271",,,,,,,,,"92.1","19.5",25,"1",12.5,37.5,"98.49999","94.32929375",7.1,35
