"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_ball","b_called_strike","b_game","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","b_total_ball","b_total_strike","b_total_swinging_strike","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Mejia, Erick","625510","2020","25","14","16","1","0","1","0","0","7","0",43.8,0,".071",".143",".071","0.214","0.072",".143","0","5","2","0","1","20","15","8","0","0","0","1","0","1","0","0","20","44","7",".079",".098",".088",".076",".079",".019",,,,,,,,,"74","31.1",37.5,"0",0,12.5,"86.631275","89.613552857",27.6,45.3
"Williams, Mason","592863","2020","28","18","18","2","1","0","1","0","9","0",50,0,".111",".222",".111","0.333","0.111",".222","0","13","4","1","0","19","9","10","0","0","0","0","0","0","0","0","19","50","15",".178",".238",".136",".182",".178",".060",,,,,,,,,"84.3","-4.9",33.3,"0",0,22.2,"93.49072","91.0504",41.5,59.4
"Lugo, Dawel","608475","2020","25","10","11","2","2","0","0","0","1","1",9.1,9.1,".200",".200",".273","0.473","0.000",".222","1","3","2","0","0","21","7","9","1","0","0","0","0","0","0","0","21","25","4",".184",".269",".224",".248",".258",".085",,,,,,,,,"88.7","8",11.1,"0",0,55.6,"100.121184","95.012436667",22.2,39.1
"Dixon, Brandon","641525","2020","28","13","14","1","0","1","0","0","4","1",28.6,7.1,".077",".154",".143","0.297","0.077",".111","2","6","2","0","0","25","9","5","1","0","0","0","0","0","0","0","26","26","5",".174",".332",".138",".250",".233",".158",,,,,,,,,"90.5","14.5",11.1,"1",11.1,33.3,"98.031062","93.572812222",29.4,32.7
"Cron, Kevin","605196","2020","27","17","20","0","0","0","0","0","7","1",35,5,".000",".000",".150","0.150","0.000",".000","0","10","0","0","0","26","11","8","0","2","0","0","0","0","0","0","29","53","15",".109",".167",".108",".206",".243",".058",,,,,,,,,"86.9","37.8",20,"0",0,20,"95.815982","91.907991",38.1,51.2
"Stubbs, Garrett","596117","2020","27","8","10","1","1","0","0","0","0","0",0,0,".125",".125",".111","0.236","0.000",".111","1","5","1","1","0","5","3","14","0","0","0","1","1","0","0","0","5","19","2",".248",".291",".098",".229",".233",".044",,,,,,,,,"84.4","1.6",30,"0",0,0,"91.453946","89.944114444",25,66.7
"Collins, Zack","641470","2020","25","16","18","1","0","1","0","0","5","2",27.8,11.1,".063",".125",".167","0.292","0.062",".091","0","11","2","0","0","30","14","9","0","0","0","0","0","0","0","0","32","47","12",".152",".350",".146",".261",".247",".198",,,,,,,,,"93","21.9",36.4,"1",9.1,54.5,"99.43166","94.918641818",42.4,41.8
"Haase, Eric","606992","2020","27","17","19","3","3","0","0","0","6","1",31.6,5.3,".176",".176",".211","0.387","0.000",".250","2","6","3","0","0","24","17","7","0","0","0","0","1","0","0","0","30","55","14",".252",".427",".176",".297",".278",".175",,,,,,,,,"83.6","18.7",25,"1",8.3,41.7,"100.856308333","94.428154167",39.5,44.7
"Barreto, Franklin","620439","2020","24","27","28","2","2","0","0","0","15","0",53.6,0,".074",".074",".107","0.181","0.000",".167","2","23","2","0","1","24","21","21","0","1","0","0","0","1","0","0","25","69","24",".125",".151",".089",".142",".156",".027",,,,,,,,,"90.7","22.7",16.7,"0",0,41.7,"102.107011667","96.245826364",56.3,51.1
"Taylor, Beau","607333","2020","30","21","24","1","1","0","0","0","9","2",37.5,8.3,".048",".048",".130","0.178","0.000",".083","2","8","1","0","0","40","15","7","0","0","0","1","0","0","0","0","42","61","19",".117",".145",".099",".165",".194",".028",,,,,,,,,"82.6","9.9",23.1,"0",0,7.7,"89.402433333","89.400271667",43.5,44.7
"Payton, Mark","592622","2020","28","18","20","3","2","1","0","0","5","2",25,10,".167",".222",".250","0.472","0.055",".231","0","10","4","0","1","28","10","8","1","0","0","0","0","1","0","0","28","55","12",".120",".211",".220",".196",".208",".091",,,,,,,,,"84.1","19.6",0,"1",7.7,15.4,"92.284772857","90.307185385",31.1,54.2
"Hudson, Joe","621529","2020","29","17","20","3","3","0","0","0","5","2",25,10,".176",".176",".263","0.439","0.000",".250","0","6","3","0","0","28","20","9","0","0","0","1","0","0","0","0","29","48","6",".132",".162",".213",".189",".224",".030",,,,,,,,,"82.1","37.5",15.4,"0",0,7.7,"91.366025","90.311513333",21.4,36.4
"Phegley, Josh","572033","2020","32","16","18","1","0","0","0","1","3","1",16.7,5.6,".063",".250",".167","0.417","0.187",".000","2","11","4","0","0","20","17","11","0","1","0","0","0","0","0","0","23","47","6",".132",".292",".189",".238",".229",".159",,,,,,,,,"81","15.5",15.4,"1",7.7,7.7,"89.419242857","89.715331538",20,42.9
"Rooker Jr., Brent","667670","2020","25","19","21","6","3","2","0","1","5","0",23.8,0,".316",".579",".381","0.960","0.263",".385","5","7","11","0","0","24","13","7","0","2","0","0","0","0","0","0","28","57","10",".305",".549",".408",".395",".371",".244",,,,,,,,,"89.1","5.4",57.1,"2",14.3,50,"102.804414286","95.586709286",27.3,51.8
"Sánchez, Jesús","660821","2020","22","25","29","1","0","1","0","0","11","4",37.9,13.8,".040",".080",".172","0.252","0.040",".071","2","16","2","0","0","40","12","10","1","0","0","0","0","0","0","0","45","80","15",".154",".252",".139",".246",".270",".099",,,,,,,,,"95.4","7.9",21.4,"1",7.1,64.3,"104.308305714","97.972124286",25,54.4
"Díaz, Isan","656371","2020","24","22","22","4","4","0","0","0","7","0",31.8,0,".182",".182",".182","0.364","0.000",".267","1","15","4","0","0","37","24","7","0","0","0","0","0","0","0","0","39","58","10",".274",".345",".160",".272",".274",".071",,,,,,,,,"85.9","9.5",33.3,"0",0,33.3,"98.63785","93.381063571",32.4,35.1
"Demeritte, Travis","641513","2020","25","29","33","5","4","1","0","0","14","3",42.4,9.1,".172",".207",".273","0.480","0.035",".333","4","9","6","0","0","58","31","18","0","1","0","0","0","0","0","0","66","84","23",".211",".319",".230",".283",".307",".107",,,,,,,,,"92.1","13.5",40,"1",6.7,53.3,"104.1530075","96.715050667",49.1,35.3
"Robertson, Daniel","621002","2020","26","21","24","7","7","0","0","0","6","3",25,12.5,".333",".333",".417","0.750","0.000",".467","2","10","7","0","0","32","15","13","0","0","0","0","0","0","0","0","35","55","11",".284",".356",".345",".335",".373",".072",,,,,,,,,"82.1","-9.8",53.3,"0",0,20,"95.64197875","92.318457333",30,44.4
"Fraley, Jake","641584","2020","25","26","29","4","2","1","1","0","11","2",37.9,6.9,".154",".269",".241","0.510","0.115",".267","0","17","7","1","2","44","23","7","0","1","0","0","0","2","0","0","46","74","14",".141",".194",".231",".203",".230",".053",,,,,,,,,"82.6","28.1",26.7,"1",6.7,13.3,"92.2476775","90.978439333",31.4,42.5
"Cespedes, Yoenis","493316","2020","34","31","34","5","2","1","0","2","15","2",44.1,5.9,".161",".387",".235","0.622","0.226",".214","4","19","12","0","0","40","23","8","1","1","0","0","0","0","0","0","46","89","17",".215",".412",".267",".304",".284",".196",,,,,,,,,"86","17.3",50,"2",12.5,50,"100.3107075","94.262919375",33.3,48.9
"Cain, Lorenzo","456715","2020","34","18","21","6","5","1","0","0","2","3",9.5,14.3,".333",".389",".429","0.818","0.056",".375","2","5","7","0","0","28","15","5","1","0","1","0","0","0","0","0","31","42","6",".379",".516",".352",".419",".468",".137",,,,,,,,,"89","-3.7",37.5,"0",0,25,"98.58554875","93.427858125",22.2,37
"Young, Andrew","670370","2020","26","26","34","5","2","2","0","1","10","5",29.4,14.7,".192",".385",".382","0.767","0.193",".267","4","13","10","0","0","53","24","12","0","3","0","0","0","0","0","0","58","87","29",".220",".379",".350",".361",".403",".159",,,,,,,,,"85.8","1.9",31.3,"1",6.3,37.5,"101.25562375","94.627811875",50.8,43.4
"Mateo, Jorge","622761","2020","25","26","28","4","1","3","0","0","11","1",39.3,3.6,".154",".269",".185","0.454","0.115",".267","2","10","7","0","0","31","21","22","1","0","0","1","0","1","0","0","35","78","16",".236",".336",".196",".259",".264",".100",,,,,,,,,"93.5","28.5",50,"0",0,50,"101.37706625","95.530842667",35.1,50.4
"Davis, Jonathan","641505","2020","28","27","34","7","4","2","0","1","11","3",32.4,8.8,".259",".444",".364","0.808","0.185",".375","6","10","12","0","1","44","29","13","1","2","0","0","1","1","0","0","53","99","21",".221",".425",".350",".350",".348",".204",,,,,,,,,"95.9","12.7",41.2,"2",11.8,64.7,"102.086303333","97.00739",30,46.1
"Allen, Austin","664119","2020","26","31","32","6","4","1","0","1","14","1",43.8,3.1,".194",".323",".219","0.542","0.129",".313","3","15","10","0","0","37","22","14","0","0","0","0","0","0","0","0","41","87","21",".149",".202",".233",".168",".176",".052",,,,,,,,,"86.1","29.3",23.5,"0",0,29.4,"95.288727778","91.993606471",36.9,50.8
"Alcántara, Sergio","642727","2020","23","21","23","3","1","0","1","1","4","2",17.4,8.7,".143",".381",".217","0.598","0.238",".125","1","9","8","0","0","23","22","10","0","0","0","0","0","0","0","0","24","50","3",".146",".207",".253",".200",".220",".061",,,,,,,,,"84.2","21.7",29.4,"0",0,23.5,"93.275336667","90.988392353",10.7,37.8
"Nido, Tomás","621512","2020","26","24","26","7","4","1","0","2","6","2",23.1,7.7,".292",".583",".346","0.929","0.291",".313","6","15","14","0","0","32","8","7","2","0","0","0","0","0","0","0","34","57","14",".244",".452",".389",".322",".302",".208",,,,,,,,,"88.8","-3.9",27.8,"2",11.1,44.4,"100.128315556","94.325592222",32.7,53.8
"Urías, Ramón","602104","2020","26","25","27","9","6","2","0","1","6","2",22.2,7.4,".360",".560",".407","0.967","0.200",".444","3","7","14","0","0","39","20","10","1","0","0","0","0","0","0","0","42","66","11",".343",".520",".413",".392",".392",".176",,,,,,,,,"90.9","6.9",42.1,"1",5.3,47.4,"100.172484","94.455490526",28.3,42.6
"Huff, Sam","669087","2020","22","31","33","11","5","3","0","3","11","2",33.3,6.1,".355",".742",".394","1.136","0.387",".471","4","9","23","0","0","52","27","10","0","0","0","0","0","0","0","0","53","86","24",".338",".640",".469",".426",".378",".302",,,,,,,,,"95.7","12.6",70,"5",25,60,"105.199363","98.071045",40.7,42.4
"Smith, Kevan","607345","2020","32","31","38","8","4","3","0","1","11","5",28.9,13.2,".258",".452",".378","0.830","0.194",".368","8","18","14","0","0","53","32","17","1","1","0","0","0","0","0","0","59","104","19",".206",".435",".363",".342",".334",".229",,,,,,,,,"85.8","1.6",40,"3",15,40,"100.400743","94.2003715",27.8,44.2
"Odom, Joseph","641929","2020","28","39","44","5","5","0","0","0","20","4",45.5,9.1,".128",".128",".209","0.337","0.000",".263","2","18","5","0","0","72","40","18","1","0","0","1","0","0","0","0","75","120","29",".119",".168",".168",".178",".201",".049",,,,,,,,,"85.6","14.5",40,"0",0,25,"95.578049","91.988446842",41.3,41
"Alford, Anthony","546990","2020","25","28","29","6","3","0","1","2","8","1",27.6,3.4,".214",".500",".241","0.741","0.286",".222","7","14","14","0","3","34","17","18","0","0","0","0","0","2","1","0","35","73","22",".176",".320",".306",".228",".204",".144",,,,,,,,,"81.3","4.2",15,"1",5,30,"96.064952","92.1454295",44.6,51.9
"Kirk, Alejandro","672386","2020","21","24","25","9","6","2","0","1","4","1",16,4,".375",".583",".400","0.983","0.208",".421","3","6","14","0","0","27","20","9","0","0","0","0","0","0","0","0","28","57","7",".313",".451",".418",".344",".340",".139",,,,,,,,,"95","5.9",25,"1",5,50,"104.860225","97.476916",21.6,43.5
"Bishop, Braden","623323","2020","26","30","34","5","3","2","0","0","10","2",29.4,5.9,".167",".233",".242","0.475","0.066",".250","4","10","7","0","1","37","16","12","0","1","0","1","0","1","0","0","41","76","17",".150",".212",".220",".206",".227",".063",,,,,,,,,"86.8","8.4",33.3,"0",0,23.8,"96.76791","92.383955",31.7,51.3
"Alvarez, Eddy","657193","2020","30","37","41","7","6","1","0","0","16","3",39,7.3,".189",".216",".268","0.484","0.027",".333","2","20","8","0","2","54","27","12","0","1","0","0","0","1","0","1","57","110","24",".132",".173",".228",".190",".217",".041",,,,,,,,,"82.7","2.9",23.8,"0",0,14.3,"92.406346364","90.589419048",33.7,49.7
"Almora Jr., Albert","546991","2020","26","30","34","5","4","1","0","0","9","3",26.5,8.8,".167",".200",".265","0.465","0.033",".238","1","15","6","0","0","36","25","28","0","1","0","0","0","0","0","0","46","86","16",".158",".175",".223",".211",".257",".017",,,,,,,,,"85.3","11.6",14.3,"0",0,28.6,"95.768248182","92.401555238",32.8,46.2
"Harrison, Monte","656509","2020","24","47","51","8","6","1","0","1","26","4",51,7.8,".170",".255",".235","0.490","0.085",".350","3","31","12","0","6","83","40","32","0","0","0","0","0","4","2","0","91","127","34",".147",".295",".222",".226",".214",".147",,,,,,,,,"81.7","4",42.9,"4",19,28.6,"95.733787273","92.44551381",42.5,39.9
"Holaday, Bryan","592407","2020","32","31","33","5","4","1","0","0","9","2",27.3,6.1,".161",".194",".212","0.406","0.033",".227","4","12","6","0","0","38","25","20","1","0","0","0","0","0","0","0","44","78","13",".190",".240",".187",".217",".239",".051",,,,,,,,,"86.1","21.4",36.4,"0",0,27.3,"94.738460909","91.414544545",26.4,43.4
"Forsythe, Logan","523253","2020","33","34","38","4","2","1","0","1","12","4",31.6,10.5,".118",".235",".211","0.446","0.117",".143","2","12","8","0","0","54","40","12","0","0","0","0","0","0","0","0","60","90","15",".193",".421",".205",".301",".278",".228",,,,,,,,,"89.6","13.9",45.5,"3",13.6,36.4,"97.812915455","93.141066818",38,33.3
"Benintendi, Andrew","643217","2020","25","39","52","4","3","1","0","0","17","11",32.7,21.2,".103",".128",".314","0.442","0.025",".182","1","24","5","2","1","93","28","14","1","1","0","1","0","1","0","0","98","131","30",".121",".213",".241",".278",".332",".092",,,,,,,,,"85.2","8.6",13,"1",4.3,26.1,"94.363295","91.435417",33,45
"Marisnick, Jake","545350","2020","29","33","34","11","6","3","0","2","10","1",29.4,2.9,".333",".606",".353","0.959","0.273",".429","5","13","20","0","0","36","21","16","0","0","0","0","0","0","0","0","38","90","21",".214",".309",".402",".238",".238",".094",,,,,,,,,"87.1","7.2",30.4,"1",4.3,30.4,"98.010124545","93.005062273",31.9,53.9
"Duggar, Steven","621453","2020","26","34","36","6","4","2","0","0","11","1",30.6,2.8,".176",".235",".222","0.457","0.059",".261","3","20","8","0","1","40","33","21","1","1","0","0","0","1","0","0","44","89","10",".200",".273",".206",".234",".245",".073",,,,,,,,,"84.2","6.5",26.1,"0",0,26.1,"94.6986225","91.559307391",21.4,42.1
"Zimmer, Bradley","605548","2020","27","37","50","6","5","0","0","1","14","7",28,14,".162",".243",".360","0.603","0.081",".217","3","20","9","1","2","80","37","20","2","5","0","0","1","2","0","0","94","119","27",".130",".210",".299",".282",".340",".080",,,,,,,,,"84.1","16.4",20.8,"1",4.2,16.7,"95.53167","91.782634091",36.6,38.5
"Wieters, Matt","446308","2020","34","35","41","7","6","1","0","0","10","3",24.4,7.3,".200",".229",".300","0.529","0.029",".280","4","29","8","0","0","62","31","19","1","2","0","1","0","0","0","0","68","116","12",".247",".382",".252",".323",".341",".136",,,,,,,,,"84.7","13.5",38.5,"2",7.7,23.1,"95.430208462","91.965086",18.8,46.2
"Hamilton, Billy","571740","2020","29","32","36","4","3","0","0","1","7","2",19.4,5.6,".125",".219",".171","0.390","0.094",".120","2","16","7","2","6","31","10","31","0","0","0","1","1","5","0","1","35","82","12",".199",".285",".172",".236",".244",".086",,,,,,,,,"82.2","24.6",48.1,"1",3.7,7.4,"90.58252","89.61649",20.8,61.5
"Avila, Alex","488671","2020","33","49","62","9","6","2","0","1","22","11",35.5,17.7,".184",".286",".355","0.641","0.102",".308","2","22","14","0","0","105","57","23","2","2","0","0","0","0","0","0","116","151","29",".198",".326",".305",".324",".367",".127",,,,,,,,,"85.3","12.6",51.9,"1",3.7,40.7,"100.47735","94.469737037",35.1,35.2
"Walker, Neil","435522","2020","34","39","41","9","6","3","0","0","13","1",31.7,2.4,".231",".308",".244","0.552","0.077",".333","3","13","12","0","0","58","35","18","0","0","0","0","1","0","0","0","59","113","20",".234",".306",".237",".241",".250",".072",,,,,,,,,"86.9","22",51.9,"1",3.7,11.1,"93.164185","90.775935185",28.2,45.3
"Nottingham, Jacob","641924","2020","25","48","54","9","4","1","0","4","20","5",37,9.3,".188",".458",".278","0.736","0.270",".208","13","20","22","0","0","77","30","20","1","1","0","0","0","0","0","0","81","145","38",".193",".401",".313",".300",".283",".208",,,,,,,,,"87","20.1",28.6,"4",14.3,39.3,"100.730505","94.600703571",38.3,50.9
"Piña, Manny","444489","2020","33","39","45","9","6","1","0","2","11","3",24.4,6.7,".231",".410",".333","0.743","0.179",".269","5","12","16","0","0","68","31","15","0","3","0","0","0","0","0","0","73","107","17",".286",".473",".328",".374",".381",".187",,,,,,,,,"88.5","26.1",46.4,"3",10.7,35.7,"98.46701","93.305863929",27.6,42.2
"Estrada, Thairo","642731","2020","24","48","52","8","7","0","0","1","19","1",36.5,1.9,".167",".229",".231","0.460","0.062",".250","3","25","11","0","1","54","25","26","0","3","0","0","0","1","0","0","60","144","31",".199",".290",".212",".250",".261",".090",,,,,,,,,"83.5","2.9",24.1,"1",3.4,27.6,"96.167671333","92.512783103",29.4,58.3
"Mathias, Mark","664029","2020","25","36","36","10","7","3","0","0","7","0",19.4,0,".278",".361",".278","0.639","0.083",".345","4","19","13","0","1","48","28","16","0","0","0","0","0","1","0","0","53","89","14",".258",".359",".275",".265",".258",".101",,,,,,,,,"84.6","19.5",44.8,"1",3.4,24.1,"96.211535714","92.156233571",24.6,43
"Wade Jr., LaMonte","664774","2020","26","39","44","9","6","3","0","0","9","4",20.5,9.1,".231",".308",".318","0.626","0.077",".300","1","17","12","1","1","65","40","16","0","1","0","0","0","1","0","0","74","118","7",".206",".277",".285",".266",".296",".070",,,,,,,,,"85","15.3",26.7,"0",0,30,"97.458419333","92.878475667",15.4,40.6
"Mejía, Francisco","642336","2020","24","39","42","3","1","1","0","1","9","1",21.4,2.4,".077",".179",".143","0.322","0.102",".069","2","23","7","0","0","40","17","17","1","2","0","0","0","0","0","0","44","116","20",".147",".211",".149",".193",".208",".064",,,,,,,,,"81.5","23.4",36.7,"0",0,13.3,"92.471595333","90.363951",24.2,61.9
"Davidson, Matt","571602","2020","29","43","47","7","3","1","0","3","13","4",27.7,8.5,".163",".395",".234","0.629","0.232",".148","11","19","17","0","0","67","31","20","2","0","0","0","0","0","0","0","72","128","24",".235",".499",".268",".339",".300",".264",,,,,,,,,"92.8","18.1",36.7,"5",16.7,56.7,"101.299384","95.885777",27.8,48.5
"Mayfield, Jack","608686","2020","29","42","47","8","7","1","0","0","14","2",29.8,4.3,".190",".214",".239","0.453","0.024",".276","3","22","9","0","0","55","27","21","1","1","0","1","1","0","0","0","61","127","25",".169",".226",".207",".211",".229",".056",,,,,,,,,"87.4","24.4",23.3,"0",0,26.7,"97.133559333","92.724254828",29.3,52.9
"Murphy, John Ryan","571974","2020","29","58","63","10","8","2","0","0","28","4",44.4,6.3,".172",".207",".226","0.433","0.035",".333","2","27","12","0","0","73","45","25","1","0","0","1","0","0","0","0","79","166","49",".215",".317",".199",".261",".266",".102",,,,,,,,,"83","7.3",38.7,"3",9.7,38.7,"99.050449333","93.648165333",44.6,49.4
"Adams, Matt","571431","2020","31","49","51","9","5","2","0","2","18","2",35.3,3.9,".184",".347",".216","0.563","0.163",".241","9","25","17","0","0","66","26","16","3","0","0","0","0","0","0","0","72","137","25",".197",".379",".240",".258",".228",".182",,,,,,,,,"90.1","21.4",32.3,"3",9.7,45.2,"99.699625625","94.539352258",29.7,53.1
"Smith, Mallex","605480","2020","27","45","47","6","4","2","0","0","13","2",27.7,4.3,".133",".178",".170","0.348","0.045",".188","3","20","8","0","2","51","26","14","1","0","0","0","0","2","0","0","54","122","23",".163",".193",".158",".181",".199",".030",,,,,,,,,"83.7","2.1",12.5,"0",0,18.8,"92.679811875","90.577520645",27.1,54.5
"Starling, Bubba","605490","2020","27","59","64","10","8","1","0","1","27","4",42.2,6.3,".169",".237",".219","0.456","0.068",".281","5","22","14","0","0","75","48","35","0","0","0","0","1","0","0","0","80","179","45",".191",".250",".204",".223",".241",".059",,,,,,,,,"84.2","8.1",36.4,"1",3,30.3,"98.080507647","93.192988788",37.4,50.6
"Haggerty, Sam","664059","2020","26","50","54","13","8","4","0","1","16","4",29.6,7.4,".260",".400",".315","0.715","0.140",".364","6","20","20","0","4","83","32","13","0","0","0","0","0","4","0","0","90","139","33",".263",".387",".311",".311",".318",".123",,,,,,,,,"90.6","13",44.1,"1",2.9,41.2,"100.316351765","94.532172059",35.5,46.7
"Muñoz, Yairo","622168","2020","25","45","45","15","9","5","0","1","11","0",24.4,0,".333",".511",".333","0.844","0.178",".424","4","17","23","0","2","31","13","12","1","0","0","0","0","2","0","0","34","118","33",".276",".403",".358",".290",".276",".127",,,,,,,,,"89.2","13",35.3,"1",2.9,38.2,"97.646085882","92.958624706",35.2,69.1
"Heim, Jonah","641680","2020","25","38","41","8","8","0","0","0","3","3",7.3,7.3,".211",".211",".268","0.479","0.000",".229","5","20","8","0","0","54","24","13","1","0","0","0","0","0","0","0","56","88","6",".245",".379",".223",".299",".300",".135",,,,,,,,,"86","14.9",25.7,"2",5.7,37.1,"97.304861667","92.785357429",10.9,44.4
"Davis, Chris","448801","2020","34","52","55","6","3","3","0","0","17","3",30.9,5.5,".115",".173",".164","0.337","0.058",".171","1","34","9","0","0","74","26","16","0","0","0","0","0","0","0","0","76","143","37",".143",".205",".154",".182",".191",".062",,,,,,,,,"85.8","6.2",25.7,"1",2.9,22.9,"95.037164706","91.570171471",36.8,53.4
"Jeffers, Ryan","680777","2020","23","55","62","15","12","0","0","3","19","5",30.6,8.1,".273",".436",".355","0.791","0.163",".364","7","23","24","0","0","87","48","26","0","2","0","0","0","0","0","0","95","153","29",".236",".486",".346",".349",".324",".249",,,,,,,,,"91.6","10.3",27.8,"5",13.9,41.7,"101.937106111","95.901186",33.3,42.3
"Garver, Mitch","641598","2020","29","72","81","12","9","1","0","2","37","7",45.7,8.6,".167",".264",".247","0.511","0.097",".294","5","25","19","0","0","149","86","23","1","1","0","0","1","0","0","0","160","225","49",".170",".278",".232",".240",".250",".108",,,,,,,,,"92.4","18.6",30.6,"3",8.3,50,"103.326031111","95.9881325",39.6,36.1
